row_char,seat_number,seat_type,status
A,01,Couple Sofa,available
A,02,Couple Sofa,available
A,03,Couple Sofa,available
A,04,Couple Sofa,available
A,05,Couple Sofa,available
A,06,Couple Sofa,available
A,07,Couple Sofa,available
A,08,Couple Sofa,available
A,09,Couple Sofa,available
A,10,Couple Sofa,available
B,01,Couple Sofa,available
B,02,Couple Sofa,available
B,03,Couple Sofa,available
B,04,Couple Sofa,available
B,05,Couple Sofa,available
B,06,Couple Sofa,available
B,07,Couple Sofa,available
B,08,Couple Sofa,available
B,09,Couple Sofa,available
B,10,Couple Sofa,available
C,01,Couple Sofa,available
C,02,Couple Sofa,available
C,03,Couple Sofa,available
C,04,Couple Sofa,available
C,05,Couple Sofa,available
C,06,Couple Sofa,available
C,07,Couple Sofa,available
C,08,Couple Sofa,available
C,09,Couple Sofa,available
C,10,Couple Sofa,available
D,01,Couple Sofa,available
D,02,Couple Sofa,available
D,03,Couple Sofa,available
D,04,Couple Sofa,available
D,05,Couple Sofa,available
D,06,Couple Sofa,available
D,07,Couple Sofa,available
D,08,Couple Sofa,available
D,09,Couple Sofa,available
D,10,Couple Sofa,available
E,01,Couple Bed,available
E,02,Couple Bed,available
E,03,Couple Bed,available
E,04,Couple Bed,available
E,05,Couple Bed,available
E,06,Couple Bed,available
E,07,Couple Bed,available
E,08,Couple Bed,available
E,09,Couple Bed,available
E,10,Couple Bed,available
